employer,normalized,city,county,state,noticeDate,effectiveDate,employees,layoffType,sourceUrl
Sickles Market LLC,SICKLES MARKET,Little Silver,,NJ,,2024-01-10,117,,https://www.nj.gov/labor/employer-services/warn/
"Merit Logistics, LLC",MERIT LOGISTICS,Chehalis,,WA,2024-01-10,2024-02-03,158,Permanent,https://esd.wa.gov/about-employees/WARN
"ABM Industries, Inc. Flowers Baking Company",ABM INDUSTRIES FLOWERS BAKING,San Antonio,Bexar,TX,2024-01-09,2024-03-02,176,,https://data.texas.gov/d/8w53-c4f6
Tom Thumb Store #3854,TOM THUMB STORE #3854,Grapevine,Tarrant,TX,2024-01-09,2024-02-17,71,,https://data.texas.gov/d/8w53-c4f6
Unity Technologies,UNITY,Bellevue,,WA,2024-01-09,2024-01-09,120,Permanent,https://esd.wa.gov/about-employees/WARN
Masonite Corporation (Greenville),MASONITE (GREENVILLE),Greenville,Hunt,TX,2024-01-08,2023-12-06,75,,https://data.texas.gov/d/8w53-c4f6
"Packers Sanitation Services, Inc. (PSSI) Friona",PACKERS SANITATION (PSSI) FRIONA,Friona,Parmer,TX,2024-01-08,2024-01-11,103,,https://data.texas.gov/d/8w53-c4f6
"Flexe, Inc.",FLEXE,Seattle,,WA,2024-01-08,2024-03-08,99,Permanent,https://esd.wa.gov/about-employees/WARN
Genpact US Services LLC,GENPACT,Richardson,Collin,TX,2024-01-05,2024-02-28,365,,https://data.texas.gov/d/8w53-c4f6
Technica Corporation,TECHNICA,San Antonio,Bexar,TX,2024-01-05,2024-02-15,60,,https://data.texas.gov/d/8w53-c4f6
Ruan Transport Corporation,RUAN TRANSPORT,Rural Retreat VA,,VA,2024-01-05,,17,Closure,https://www.vec.virginia.gov/warn-notices
Ruan Transport Corporation,RUAN TRANSPORT,Gordonsville VA,,VA,2024-01-05,,46,Closure,https://www.vec.virginia.gov/warn-notices
Randalls #2490,RANDALLS #2490,Austin,Travis,TX,2024-01-04,2024-02-10,76,,https://data.texas.gov/d/8w53-c4f6
"Citibank N/A, Citigroup Global Markets Inc, Citigroup Technology Inc, Citishare Corp",CITIBANK N/A CITIGROUP GLOBAL MARKETS CITIGROUP CITISHARE,"Jersey City, Rutherford, Short Hills, Paramus,Hoboken, Fort Lee",,NJ,,2024-01-04,187,,https://www.nj.gov/labor/employer-services/warn/
Novelis ALR Rolled Products Inc.,NOVELIS ALR ROLLED PRODUCTS,Clayton,,NJ,,2024-01-02,104,,https://www.nj.gov/labor/employer-services/warn/
Elementis Global LLC,ELEMENTIS GLOBAL,East Windsor,,NJ,,2023-12-31,58,,https://www.nj.gov/labor/employer-services/warn/
REXAM Beverage Can Company (Ball Corp),REXAM BEVERAGE CAN (BALL ),Kent,,WA,2023-12-28,2024-02-29,121,Permanent,https://esd.wa.gov/about-employees/WARN
PTC Therapeutics Inc.,PTC THERAPEUTICS,Plainfield,,NJ,,2023-12-27,308,,https://www.nj.gov/labor/employer-services/warn/
Custom Ink,CUSTOM INK,Flower Mound,Denton,TX,2023-12-18,2023-12-15,256,,https://data.texas.gov/d/8w53-c4f6
Cruise LLC,CRUISE,Bellevue,,WA,2023-12-18,2023-12-14,67,Permanent,https://esd.wa.gov/about-employees/WARN
