employer,normalized,city,county,state,noticeDate,effectiveDate,employees,layoffType,sourceUrl
Brident-Westheimer Rd,BRIDENT-WESTHEIMER RD,Houston,Harris,TX,2020-07-02,2020-07-31,6,,https://data.texas.gov/d/8w53-c4f6
Brident-Broadway,BRIDENT-BROADWAY,Houston,Harris,TX,2020-07-02,2020-07-31,4,,https://data.texas.gov/d/8w53-c4f6
Brident-Long Point RD,BRIDENT-LONG POINT RD,Houston,Harris,TX,2020-07-02,2020-07-31,3,,https://data.texas.gov/d/8w53-c4f6
Brident-Tidwell Rd,BRIDENT-TIDWELL RD,Houston,Harris,TX,2020-07-02,2020-07-31,3,,https://data.texas.gov/d/8w53-c4f6
Brident-Edgebrook Dr,BRIDENT-EDGEBROOK DR,Houston,Harris,TX,2020-07-02,2020-07-31,2,,https://data.texas.gov/d/8w53-c4f6
Brident-E. Fwy,BRIDENT-E FWY,Houston,Harris,TX,2020-07-02,2020-07-31,2,,https://data.texas.gov/d/8w53-c4f6
Brident-W Camp Widsom,BRIDENT-W CAMP WIDSOM,Dallas,Dallas,TX,2020-07-02,2020-07-31,4,,https://data.texas.gov/d/8w53-c4f6
Brident-Crosstimbers,BRIDENT-CROSSTIMBERS,Houston,Harris,TX,2020-07-02,2020-07-31,2,,https://data.texas.gov/d/8w53-c4f6
Brident-Greens Rd,BRIDENT-GREENS RD,Houston,Harris,TX,2020-07-02,2020-07-31,1,,https://data.texas.gov/d/8w53-c4f6
Brident-Airline Dr.,BRIDENT-AIRLINE DR,Houston,Harris,TX,2020-07-02,2020-07-31,3,,https://data.texas.gov/d/8w53-c4f6
Brident-Gulf Fwy,BRIDENT-GULF FWY,Houston,Harris,TX,2020-07-02,2020-07-31,5,,https://data.texas.gov/d/8w53-c4f6
Brident-SW Military,BRIDENT-SW MILITARY,San Antonio,Bexar,TX,2020-07-02,2020-07-31,5,,https://data.texas.gov/d/8w53-c4f6
Brident-W. Bellfort Ave,BRIDENT-W BELLFORT AVE,Houston,Harris,TX,2020-07-02,2020-07-31,5,,https://data.texas.gov/d/8w53-c4f6
Brident-8706 Fredericksburg,BRIDENT-8706 FREDERICKSBURG,San Antonio,Bexar,TX,2020-07-02,2020-07-31,1,,https://data.texas.gov/d/8w53-c4f6
Brident-W Commerce,BRIDENT-W COMMERCE,San Antonio,Bexar,TX,2020-07-02,2020-07-31,3,,https://data.texas.gov/d/8w53-c4f6
Brident-3655 Fredericksburg,BRIDENT-3655 FREDERICKSBURG,San Antonio,Bexar,TX,2020-07-02,2020-07-31,1,,https://data.texas.gov/d/8w53-c4f6
Brident-2000 SE. Loop,BRIDENT-2000 SE LOOP,San Antonio,Bexar,TX,2020-07-02,2020-07-31,1,,https://data.texas.gov/d/8w53-c4f6
Brident-Bellaire bBlvd,BRIDENT-BELLAIRE BBLVD,Houston,Harris,TX,2020-07-02,2020-07-31,5,,https://data.texas.gov/d/8w53-c4f6
Electro Rent,ELECTRO RENT,Roanoke,Denton,TX,2020-07-01,2020-07-01,3,,https://data.texas.gov/d/8w53-c4f6
The Lycra Co.,THE LYCRA,La Porte,Harris,TX,2020-06-30,2020-08-31,79,,https://data.texas.gov/d/8w53-c4f6
PCC Wyman Gordon,PCC WYMAN GORDON,Houston,Harris,TX,2020-06-30,2020-07-02,10,,https://data.texas.gov/d/8w53-c4f6
Hilton Portland Downtown,HILTON PORTLAND DOWNTOWN,Portland,,OR,2020-06-30,2020-03-22,330,Other,https://data.oregon.gov/d/ijbz-jpx8
The Coca -Cola Company Odwalla's - Port,THE COCA -COLA ODWALLA'S - PORT,Portland,,OR,2020-06-30,2020-08-31,30,Permanent closure,https://data.oregon.gov/d/ijbz-jpx8
Sodexo,SODEXO,Matawan,,NJ,,2020-06-30,71,,https://www.nj.gov/labor/employer-services/warn/
Sodexo,SODEXO,Lakewood,,NJ,,2020-06-30,53,,https://www.nj.gov/labor/employer-services/warn/
Senneca / Thermoseal,SENNECA / THERMOSEAL,Gloucester City,,NJ,,2020-06-30,47,,https://www.nj.gov/labor/employer-services/warn/
Destination Maternity Corporation,DESTINATION MATERNITY,Moorestown,,NJ,,2020-06-30,111,,https://www.nj.gov/labor/employer-services/warn/
Delaware North Companies Inc.,DELAWARE NORTH COMPANIES,Richmond VA,,VA,2020-06-30,,80,Layoff,https://www.vec.virginia.gov/warn-notices
Amentum,AMENTUM,Whidbey Island,,WA,2020-06-30,2020-08-28,13,Permanent,https://esd.wa.gov/about-employees/WARN
Coca Cola / Odwalla's,COCA COLA / ODWALLA'S,Tukwila,,WA,2020-06-30,2020-08-31,32,Permanent,https://esd.wa.gov/about-employees/WARN
Hard Rock Café-San Antonio,HARD ROCK CAFÉ-SAN ANTONIO,San Antonio,Bexar,TX,2020-06-29,2020-04-13,138,,https://data.texas.gov/d/8w53-c4f6
Boeing,BOEING,Puget Sound Area,,WA,2020-06-29,2020-08-28,668,Permanent,https://esd.wa.gov/about-employees/WARN
Spire Hospitality-Embassy Suites,SPIRE HOSPITALITY-EMBASSY SUITES,Laredo,Webb,TX,2020-06-26,2020-07-01,58,,https://data.texas.gov/d/8w53-c4f6
Ponderay Newsprint Company,PONDERAY NEWSPRINT,Usk,,WA,2020-06-26,2020-06-25,148,Permanent,https://esd.wa.gov/about-employees/WARN
Spire Hospitality,SPIRE HOSPITALITY,"Lynnwood, Seattle",,WA,2020-06-26,2020-07-01,187,Permanent,https://esd.wa.gov/about-employees/WARN
PV Fluid Products Inc.,PV FLUID PRODUCTS,Houston,Harris,TX,2020-06-25,2020-06-08,113,,https://data.texas.gov/d/8w53-c4f6
Kimpton Hotel,KIMPTON HOTEL,Austin,Travis,TX,2020-06-25,2020-06-30,180,,https://data.texas.gov/d/8w53-c4f6
Love & Care Non-Emergency Medical Trensportation llc,LOVE CARE NON-EMERGENCY MEDICAL TRENSPORTATION,Trenton,,NJ,,2020-06-25,0,,https://www.nj.gov/labor/employer-services/warn/
Levy Premium Foodservice...LLC,LEVY PREMIUM FOODSERVICE,Portland,,OR,2020-06-24,2020-08-01,54,Reduction,https://data.oregon.gov/d/ijbz-jpx8
"Safran Cabin Materials, LLC",SAFRAN CABIN MATERIALS,Marysville and Newport,,WA,2020-06-24,2020-06-23,85,Permanent,https://esd.wa.gov/about-employees/WARN
Sodexo,SODEXO,SeaTac,,WA,2020-06-24,2020-04-17,41,Permanent,https://esd.wa.gov/about-employees/WARN
KHRG Vintage Park LLC (Kimpton Hotel Vintage Seattle),KHRG VINTAGE PARK (KIMPTON HOTEL VINTAGE SEATTLE),Seattle,,WA,2020-06-23,2020-03-20,97,Permanent,https://esd.wa.gov/about-employees/WARN
KHRG Employer LLC (Kimpton Hotel Monaco Seattle),KHRG EMPLOYER (KIMPTON HOTEL MONACO SEATTLE),Seattle,,WA,2020-06-23,2020-03-20,120,Permanent,https://esd.wa.gov/about-employees/WARN
Van Vleck Paint Shop,VAN VLECK PAINT SHOP,Bay City,Matagorda,TX,2020-06-22,2020-08-21,10,,https://data.texas.gov/d/8w53-c4f6
Clute Fabrication Shop,CLUTE FABRICATION SHOP,Clute,Brazoria,TX,2020-06-22,2020-08-21,46,,https://data.texas.gov/d/8w53-c4f6
Bradshaw State Jail,BRADSHAW STATE JAIL,Henderson,Rusk,TX,2020-06-22,2020-07-03,229,,https://data.texas.gov/d/8w53-c4f6
"SHOPRITE OF OAKLAND, INC.",SHOPRITE OF OAKLAND,Oakland,,NJ,,2020-06-22,352,,https://www.nj.gov/labor/employer-services/warn/
Swissport (Ronald Reagan Washington National Airport),SWISSPORT (RONALD REAGAN WASHINGTON NATIONAL AIRPORT),Arlington VA,,VA,2020-06-22,,10,Layoff,https://www.vec.virginia.gov/warn-notices
Swissport (Dulles International Airport),SWISSPORT (DULLES INTERNATIONAL AIRPORT),Dulles VA,,VA,2020-06-22,,479,Layoff,https://www.vec.virginia.gov/warn-notices
Hyatt Regency - Portland,HYATT REGENCY - PORTLAND,Portland,,OR,2020-06-19,2021-01-13,2,Temporary Layoff,https://data.oregon.gov/d/ijbz-jpx8
Hyatt Regency - Portland,HYATT REGENCY - PORTLAND,Portland,,OR,2020-06-19,2020-11-01,1,Reduction,https://data.oregon.gov/d/ijbz-jpx8
Hyatt Regency - Portland,HYATT REGENCY - PORTLAND,Portland,,OR,2020-06-19,2020-10-30,4,Reduction,https://data.oregon.gov/d/ijbz-jpx8
Hyatt Regency - Portland,HYATT REGENCY - PORTLAND,Portland,,OR,2020-06-19,2020-09-04,8,Temporary Layoff,https://data.oregon.gov/d/ijbz-jpx8
Hyatt Regency - Portland,HYATT REGENCY - PORTLAND,Portland,,OR,2020-06-19,2020-03-20,181,Temporary Layoff,https://data.oregon.gov/d/ijbz-jpx8
The Alexandrian Hotel,THE ALEXANDRIAN HOTEL,Alexandria VA,,VA,2020-06-19,,59,Layoff,https://www.vec.virginia.gov/warn-notices
Hyatt Regency Tysons Corner Center,HYATT REGENCY TYSONS CORNER CENTER,Tysons Corner VA,,VA,2020-06-19,,54,Layoff,https://www.vec.virginia.gov/warn-notices
Swissport Fueling,SWISSPORT FUELING,SeaTac,,WA,2020-06-19,2020-05-08,69,Permanent,https://esd.wa.gov/about-employees/WARN
"Swissport USA, Inc",SWISSPORT,SeaTac,,WA,2020-06-19,2020-05-22,62,Permanent,https://esd.wa.gov/about-employees/WARN
"Swissport USA, Inc",SWISSPORT,SeaTac,,WA,2020-06-19,2020-03-20,167,Temporary,https://esd.wa.gov/about-employees/WARN
"Jacobsen Daniel's Enterprise, Inc",JACOBSEN DANIEL'S ENTERPRISE,Tacoma,,WA,2020-06-18,2020-06-12,1,Permanent,https://esd.wa.gov/about-employees/WARN
Tool Gauge and Machine Works,TOOL GAUGE AND MACHINE WORKS,Tacoma,,WA,2020-06-18,2020-06-17,59,Permanent,https://esd.wa.gov/about-employees/WARN
Hyatt Corporation Motif Seattle,HYATT MOTIF SEATTLE,Seattle,,WA,2020-06-18,2020-03-14,91,Temporary,https://esd.wa.gov/about-employees/WARN
Pounds Photo Lab,POUNDS PHOTO LAB,Dallas,Dallas,TX,2020-06-17,2020-07-01,61,,https://data.texas.gov/d/8w53-c4f6
"Benchmark Stevenson, LLC d/b/a Skamania Lodge",BENCHMARK STEVENSON D/B/A SKAMANIA LODGE,Stevenson,,WA,2020-06-17,2020-03-18,185,Temporary,https://esd.wa.gov/about-employees/WARN
Seattle Art Museum,SEATTLE ART MUSEUM,Seattle,,WA,2020-06-16,2020-07-05,76,Temporary,https://esd.wa.gov/about-employees/WARN
Chihuly Garden & Glass,CHIHULY GARDEN GLASS,Seattle,,WA,2020-06-16,2020-03-21,97,Temporary,https://esd.wa.gov/about-employees/WARN
Seattle Center,SEATTLE CENTER,Seattle,,WA,2020-06-16,2020-03-21,182,Temporary,https://esd.wa.gov/about-employees/WARN
Adeputs Health dba FCER Management LLC,ADEPUTS HEALTH DBA FCER MANAGEMENT,Irving,Dallas,TX,2020-06-15,2020-08-15,96,,https://data.texas.gov/d/8w53-c4f6
Hyatt Regency DFW,HYATT REGENCY DFW,DFW Airport,Tarrant,TX,2020-06-15,2020-03-22,210,,https://data.texas.gov/d/8w53-c4f6
Sekisui Aerospace,SEKISUI AEROSPACE,Renton and Sumner,,WA,2020-06-15,2020-06-12,111,Permanent,https://esd.wa.gov/about-employees/WARN
Pioneer Human Services,PIONEER HUMAN,Seattle,,WA,2020-06-15,2020-08-14,59,Permanent,https://esd.wa.gov/about-employees/WARN
Crista Senior Living,CRISTA SENIOR LIVING,Shoreline,,WA,2020-06-15,2020-08-16,156,Permanent,https://esd.wa.gov/about-employees/WARN
Hyatt Corporation / Hyatt Regency Bellevue,HYATT / HYATT REGENCY BELLEVUE,Bellevue,,WA,2020-06-15,2020-03-15,223,Temporary,https://esd.wa.gov/about-employees/WARN
Hyatt Corp dba Miraval Austin Wellness Resort & Spa,HYATT DBA MIRAVAL AUSTIN WELLNESS RESORT SPA,Austin,Travis,TX,2020-06-12,2020-03-22,137,,https://data.texas.gov/d/8w53-c4f6
Hyatt Regency - Austin,HYATT REGENCY - AUSTIN,Austin,Travis,TX,2020-06-12,2020-03-15,224,,https://data.texas.gov/d/8w53-c4f6
Kimpton Riverplace Hotel,KIMPTON RIVERPLACE HOTEL,Portland,,OR,2020-06-12,2020-03-13,79,Large Layoff - 10 or more workers,https://data.oregon.gov/d/ijbz-jpx8
Kimpton Hotel Monaco Portland,KIMPTON HOTEL MONACO PORTLAND,Portland,,OR,2020-06-12,2020-03-13,147,Large Layoff - 10 or more workers,https://data.oregon.gov/d/ijbz-jpx8
Kimpton Hotel Vintage Portland,KIMPTON HOTEL VINTAGE PORTLAND,Portland,,OR,2020-06-12,2020-03-01,94,Large Layoff - 10 or more workers,https://data.oregon.gov/d/ijbz-jpx8
Advance Auto Parts,ADVANCE AUTO PARTS,Roanoke VA,,VA,2020-06-12,,94,Layoff,https://www.vec.virginia.gov/warn-notices
"Toray Composite Materials America, Inc",TORAY COMPOSITE MATERIALS AMERICA,Tacoma,,WA,2020-06-12,2020-08-08,146,Permanent,https://esd.wa.gov/about-employees/WARN
Embassy Suites Seattle Bellevue,EMBASSY SUITES SEATTLE BELLEVUE,Seattle,,WA,2020-06-12,2020-06-01,57,Temporary,https://esd.wa.gov/about-employees/WARN
Grand Hyatt San Antonio,GRAND HYATT SAN ANTONIO,San Antonio,Bexar,TX,2020-06-11,2020-03-22,271,,https://data.texas.gov/d/8w53-c4f6
Owens-Corning - Amarillo,OWENS-CORNING - AMARILLO,Amarillo,Randall,TX,2020-06-11,2020-08-05,205,,https://data.texas.gov/d/8w53-c4f6
Hotel Contessa,HOTEL CONTESSA,San Antonio,Bexar,TX,2020-06-11,2020-06-13,84,,https://data.texas.gov/d/8w53-c4f6
Triumph Aerospace Structures,TRIUMPH AEROSPACE STRUCTURES,Spokane,,WA,2020-06-11,2020-06-15,12,Permanent,https://esd.wa.gov/about-employees/WARN
ATI Albany Operations,ATI ALBANY OPERATIONS,Albany,,OR,2020-06-10,2020-12-07,76,Permanent closure,https://data.oregon.gov/d/ijbz-jpx8
ATI Albany Operations,ATI ALBANY OPERATIONS,Albany,,OR,2020-06-10,2020-10-26,135,Large Layoff - 10 or more workers,https://data.oregon.gov/d/ijbz-jpx8
"Continuum Global Solutions, LLC",CONTINUUM GLOBAL,Portland,,OR,2020-06-10,2020-08-12,255,Permanent closure,https://data.oregon.gov/d/ijbz-jpx8
The Bay Company - Portland,THE BAY - PORTLAND,Tigard,,OR,2020-06-09,2020-09-29,125,Other,https://data.oregon.gov/d/ijbz-jpx8
The Bay Company - Portland,THE BAY - PORTLAND,Tigard,,OR,2020-06-09,2020-04-15,289,Large Layoff - 10 or more workers,https://data.oregon.gov/d/ijbz-jpx8
Hyatt Corporation / Hyatt Regency Lake Washington,HYATT / HYATT REGENCY LAKE WASHINGTON,Renton,,WA,2020-06-09,2020-06-30,129,Temporary,https://esd.wa.gov/about-employees/WARN
Hyatt Regency - Houston,HYATT REGENCY - HOUSTON,Houston,Fort Bend,TX,2020-06-08,2020-03-22,260,,https://data.texas.gov/d/8w53-c4f6
Ritz Carlton - Dallas,RITZ CARLTON - DALLAS,Dallas,Dallas,TX,2020-06-08,2020-03-14,365,,https://data.texas.gov/d/8w53-c4f6
EVRAZ - Portland,EVRAZ - PORTLAND,Portland,,OR,2020-06-08,2020-06-08,65,Reduction,https://data.oregon.gov/d/ijbz-jpx8
"ALL ACCESS STAGING &PRODUCTIONS,INC.",ALL ACCESS STAGING PRODUCTIONS,NEWTON,,NJ,,2020-06-08,1,,https://www.nj.gov/labor/employer-services/warn/
Boeing,BOEING,Puget Sound Area,,WA,2020-06-08,2020-07-31,5798,Permanent,https://esd.wa.gov/about-employees/WARN
"Lamb Weston, Inc",LAMB WESTON,"Connell, WA",,WA,2020-06-08,2020-06-15,360,Temporary,https://esd.wa.gov/about-employees/WARN
"Lamb Weston, Inc",LAMB WESTON,Warden,,WA,2020-06-08,2020-06-15,300,Temporary,https://esd.wa.gov/about-employees/WARN
"Seadrill Americas, Inc.",SEADRILL AMERICAS,Houston,Harris,TX,2020-06-05,2020-06-16,135,,https://data.texas.gov/d/8w53-c4f6
Marriott Portland Downtown Waterfront,MARRIOTT PORTLAND DOWNTOWN WATERFRONT,Portland,,OR,2020-06-05,2020-11-06,145,Reduction,https://data.oregon.gov/d/ijbz-jpx8
Marriott Portland Downtown Waterfront,MARRIOTT PORTLAND DOWNTOWN WATERFRONT,Portland,,OR,2020-06-05,2020-03-21,248,Temporary Layoff,https://data.oregon.gov/d/ijbz-jpx8
Fairway Market,FAIRWAY MARKET,Woodland Park,,NJ,,2020-06-05,107,,https://www.nj.gov/labor/employer-services/warn/
Joy Global Underground Mining (Komatsu Mining Corp. Group),JOY GLOBAL UNDERGROUND MINING (KOMATSU MINING GROUP),Bluefield VA,,VA,2020-06-05,,71,Layoff,https://www.vec.virginia.gov/warn-notices
Tysons Corner Marriott,TYSONS CORNER MARRIOTT,Vienna VA,,VA,2020-06-05,,120,Layoff,https://www.vec.virginia.gov/warn-notices
The Ritz Carlton Tysons Corner,THE RITZ CARLTON TYSONS CORNER,McLean VA,,VA,2020-06-05,,344,Layoff,https://www.vec.virginia.gov/warn-notices
Marriott-Westfields Washington Dulles-,MARRIOTT-WESTFIELDS WASHINGTON DULLES-,Chantilly VA,,VA,2020-06-05,,167,Layoff,https://www.vec.virginia.gov/warn-notices
Marriott-Crystal Gateway,MARRIOTT-CRYSTAL GATEWAY,Arlington VA,,VA,2020-06-05,,308,Layoff,https://www.vec.virginia.gov/warn-notices
Marriott Hotel Services Inc.,MARRIOTT HOTEL,Dulles VA,,VA,2020-06-05,,105,Layoff,https://www.vec.virginia.gov/warn-notices
Marriott -Crystal City at Reagan National Airport,MARRIOTT -CRYSTAL CITY AT REAGAN NATIONAL AIRPORT,Arlington VA,,VA,2020-06-05,,176,Layoff,https://www.vec.virginia.gov/warn-notices
"Cadence Aerospace, Giddence Industries",CADENCE AEROSPACE GIDDENCE INDUSTRIES,Everett,,WA,2020-06-05,2020-04-24,72,Permanent,https://esd.wa.gov/about-employees/WARN
Gaylord - Grapevine,GAYLORD - GRAPEVINE,Grapevine,Tarrant,TX,2020-06-04,2020-03-16,1426,,https://data.texas.gov/d/8w53-c4f6
PCC Structurals - Portland,PCC STRUCTURALS - PORTLAND,Portland,,OR,2020-06-04,2020-07-24,94,Reduction,https://data.oregon.gov/d/ijbz-jpx8
PCC Structurals - Clackamas,PCC STRUCTURALS - CLACKAMAS,Clackamas,,OR,2020-06-04,2020-04-15,170,Reduction,https://data.oregon.gov/d/ijbz-jpx8
PCC Structurals - Portland,PCC STRUCTURALS - PORTLAND,Portland,,OR,2020-06-04,2020-04-15,547,Reduction,https://data.oregon.gov/d/ijbz-jpx8
PCC Structurals - Redmond,PCC STRUCTURALS - REDMOND,Redmond,,OR,2020-06-04,2020-04-13,175,Large Layoff - 10 or more workers,https://data.oregon.gov/d/ijbz-jpx8
Marriott Falls Church Fairview Park,MARRIOTT FALLS CHURCH FAIRVIEW PARK,Falls Church VA,,VA,2020-06-04,,164,Layoff,https://www.vec.virginia.gov/warn-notices
"W Hotel Management, Inc., dba W Bellevue",W HOTEL MANAGEMENT DBA W BELLEVUE,Bellevue,,WA,2020-06-04,2020-03-16,105,Temporary,https://esd.wa.gov/about-employees/WARN
"WHC Payroll, dba The Westin Bellevue",WHC PAYROLL DBA THE WESTIN BELLEVUE,Bellevue,,WA,2020-06-04,2020-03-16,155,Temporary,https://esd.wa.gov/about-employees/WARN
Fairmont Olympic Hotel,FAIRMONT OLYMPIC HOTEL,Seattle,,WA,2020-06-04,2020-06-01,58,Permanent,https://esd.wa.gov/about-employees/WARN
Fairmont Olympic Hotel,FAIRMONT OLYMPIC HOTEL,Seattle,,WA,2020-06-04,2020-06-01,278,Temporary,https://esd.wa.gov/about-employees/WARN
Mitsubishi Aircraft Corporation,MITSUBISHI AIRCRAFT,"Moses Lake, Renton",,WA,2020-06-04,2020-06-01,240,Permanent,https://esd.wa.gov/about-employees/WARN
The Ritz Carlton Pentagon City,THE RITZ CARLTON PENTAGON CITY,Arlington VA,,VA,2020-06-03,,240,Layoff,https://www.vec.virginia.gov/warn-notices
Residence Inn Arlington Pentagon City,RESIDENCE INN ARLINGTON PENTAGON CITY,Arlington VA,,VA,2020-06-03,,75,Layoff,https://www.vec.virginia.gov/warn-notices
Residence Inn Arlington Capital View,RESIDENCE INN ARLINGTON CAPITAL VIEW,Arlington VA,,VA,2020-06-03,,60,Layoff,https://www.vec.virginia.gov/warn-notices
"Marriott International, Inc dba Seattle Redmond Marriott",MARRIOTT INTERNATIONAL DBA SEATTLE REDMOND MARRIOTT,Redmond,,WA,2020-06-03,2020-03-21,105,Temporary,https://esd.wa.gov/about-employees/WARN
"WHC Payroll Company, dba The Westin Seattle",WHC PAYROLL DBA THE WESTIN SEATTLE,Seattle,,WA,2020-06-03,2020-03-14,498,Temporary,https://esd.wa.gov/about-employees/WARN
"KS Tacoma Hotel, LLC dba Hotel Murano",KS TACOMA HOTEL DBA HOTEL MURANO,Tacoma,,WA,2020-06-03,2020-03-13,133,Temporary,https://esd.wa.gov/about-employees/WARN
Marriott Key Bridge,MARRIOTT KEY BRIDGE,Arlington VA,,VA,2020-06-02,,202,Layoff,https://www.vec.virginia.gov/warn-notices
Hyatt Regency-Crystal City,HYATT REGENCY-CRYSTAL CITY,Arlington VA,,VA,2020-06-02,,151,Layoff,https://www.vec.virginia.gov/warn-notices
Courtyard (by Marriott) - Arlington Crystal City/Reagan National Airport,COURTYARD (BY MARRIOTT) - ARLINGTON CRYSTAL CITY/REAGAN NATIONAL AIRPORT,Arlington VA,,VA,2020-06-02,,68,Layoff,https://www.vec.virginia.gov/warn-notices
SHG Hotel SPE LLC,SHG HOTEL SPE,Seattle,,WA,2020-06-02,2020-05-15,119,Permanent,https://esd.wa.gov/about-employees/WARN
Aviation Technical Services,AVIATION TECHNICAL,Everett,,WA,2020-06-02,2020-06-04,142,Permanent,https://esd.wa.gov/about-employees/WARN
Sound Inpatient Physicians Inc.,SOUND INPATIENT PHYSICIANS,Westlake,Tarrant,TX,2020-06-01,2020-06-01,33,,https://data.texas.gov/d/8w53-c4f6
Echo Locum Tenens Inc.,ECHO LOCUM TENENS,Westlake,Tarrant,TX,2020-06-01,2020-06-01,13,,https://data.texas.gov/d/8w53-c4f6
"GE Engine Services, L.P.",GE ENGINE L P,McAllen,Hidalgo,TX,2020-06-01,2020-06-12,257,,https://data.texas.gov/d/8w53-c4f6
Turner Industries-Corpus Christi,TURNER INDUSTRIES-CORPUS CHRISTI,Corpus Ch,Nueces,TX,2020-06-01,2020-06-25,40,,https://data.texas.gov/d/8w53-c4f6
St. Regis Houston,ST REGIS HOUSTON,Houston,Fort Bend,TX,2020-06-01,2020-03-21,180,,https://data.texas.gov/d/8w53-c4f6
Benson Hotel,BENSON HOTEL,Portland,,OR,2020-06-01,2020-06-01,81,Reduction,https://data.oregon.gov/d/ijbz-jpx8
International Vitamin Corportion,INTERNATIONAL VITAMIN CORPORTION,Irvington,,NJ,,2020-06-01,110,,https://www.nj.gov/labor/employer-services/warn/
Nordstrom,NORDSTROM,Freehold,,NJ,,2020-06-01,252,,https://www.nj.gov/labor/employer-services/warn/
NortonLifeLock Inc.,NORTONLIFELOCK,Herndon VA,,VA,2020-06-01,,6,Layoff,https://www.vec.virginia.gov/warn-notices
"Marriott Hotel Services, Inc., dba Seattle Marriott Bellevue",MARRIOTT HOTEL DBA SEATTLE MARRIOTT BELLEVUE,Bellevue,,WA,2020-06-01,2020-03-21,129,Temporary,https://esd.wa.gov/about-employees/WARN
WHC Payroll Co Sheraton Grand Seattle,WHC PAYROLL SHERATON GRAND SEATTLE,Seattle,,WA,2020-06-01,2020-03-21,503,Temporary,https://esd.wa.gov/about-employees/WARN
"Coast Wenatchee, LLC",COAST WENATCHEE,Wenatchee,,WA,2020-06-01,2020-06-01,58,Permanent,https://esd.wa.gov/about-employees/WARN
WHC Payroll Company / W Seattle,WHC PAYROLL / W SEATTLE,Seattle,,WA,2020-06-01,2020-03-21,203,Temporary,https://esd.wa.gov/about-employees/WARN
"Marriott International Inc., dba Seattle Marriott Waterfront",MARRIOTT INTERNATIONAL DBA SEATTLE MARRIOTT WATERFRONT,Seattle,,WA,2020-06-01,2020-03-21,166,Temporary,https://esd.wa.gov/about-employees/WARN
Jim's Formal Wear,JIM'S FORMAL WEAR,Seguin,Guadalupe,TX,2020-05-31,2020-03-20,44,,https://data.texas.gov/d/8w53-c4f6
Embassy Suites - Portland - Wash Sq,EMBASSY SUITES - PORTLAND - WASH SQ,Tigard,,OR,2020-05-31,2020-06-01,7,Temporary Layoff,https://data.oregon.gov/d/ijbz-jpx8
Embassy Suites - Portland - Wash Sq,EMBASSY SUITES - PORTLAND - WASH SQ,Tigard,,OR,2020-05-31,2020-03-29,81,Temporary Layoff,https://data.oregon.gov/d/ijbz-jpx8
Renaissance Hotel,RENAISSANCE HOTEL,Austin,Travis,TX,2020-05-29,2020-03-21,243,,https://data.texas.gov/d/8w53-c4f6
Collins Aerospace,COLLINS AEROSPACE,Houston,Harris,TX,2020-05-29,2020-07-31,144,,https://data.texas.gov/d/8w53-c4f6
Allied Aviation-Southlake,ALLIED AVIATION-SOUTHLAKE,Southlake,Tarrant,TX,2020-05-29,2020-04-20,50,,https://data.texas.gov/d/8w53-c4f6
85C Bakery-Katy,85C BAKERY-KATY,Katy,Harris,TX,2020-05-29,2020-06-12,1,,https://data.texas.gov/d/8w53-c4f6
Live by Loews,LIVE BY LOEWS,Arlington,Tarrant,TX,2020-05-29,2020-05-27,153,,https://data.texas.gov/d/8w53-c4f6
Holiday Inn Club Vacations-Pantego,HOLIDAY INN CLUB VACATIONS-PANTEGO,Pantego,Tarrant,TX,2020-05-29,2020-05-21,307,,https://data.texas.gov/d/8w53-c4f6
85 C Bakery Café,85 C BAKERY CAFÉ,Friendswood,Harris,TX,2020-05-29,2020-06-12,9,,https://data.texas.gov/d/8w53-c4f6
"Bed, Bath & Beyond",BED BATH BEYOND,Union,,NJ,,2020-05-29,58,,https://www.nj.gov/labor/employer-services/warn/
Le Meridien Arlington,LE MERIDIEN ARLINGTON,Arlington VA,,VA,2020-05-29,,44,Layoff,https://www.vec.virginia.gov/warn-notices
Happy Guests International d/b/a Salty's,HAPPY GUESTS INTERNATIONAL D/B/A SALTY'S,"Seattle, Des Moines",,WA,2020-05-29,2020-03-15,282,Temporary,https://esd.wa.gov/about-employees/WARN
Hyatt Corporation / Thompson Seattle,HYATT / THOMPSON SEATTLE,Seattle,,WA,2020-05-29,2020-06-01,49,Temporary,https://esd.wa.gov/about-employees/WARN
Hyatt Corporation / Thompson Seattle,HYATT / THOMPSON SEATTLE,Seattle,,WA,2020-05-29,2020-06-01,50,Permanent,https://esd.wa.gov/about-employees/WARN
"Loews Seattle Operating Company, LLC",LOEWS SEATTLE OPERATING,Seattle,,WA,2020-05-29,2020-05-27,12,Permanent,https://esd.wa.gov/about-employees/WARN
"Loews Seattle Operating Company, LLC",LOEWS SEATTLE OPERATING,Seattle,,WA,2020-05-29,2020-05-27,55,Temporary,https://esd.wa.gov/about-employees/WARN
Benchmark Electronics,BENCHMARK ELECTRONICS,Angleton,Brazoria,TX,2020-05-28,2021-01-01,190,,https://data.texas.gov/d/8w53-c4f6
Your Chiropractor Inc.,YOUR CHIROPRACTOR,Margate,,NJ,,2020-05-28,1,,https://www.nj.gov/labor/employer-services/warn/
Saint-Gobain,SAINT-GOBAIN,Puyallup,,WA,2020-05-28,2020-06-30,96,Permanent,https://esd.wa.gov/about-employees/WARN
